,x,y,theta,speed
0,909.48,1128.67,0.0,30
1,909.4860000000001,1128.67,0.0,30
2,909.492,1128.67,0.0,30
3,909.5,1128.67,0.0,30
4,909.5219999999999,1128.67,0.0,30
5,909.57,1128.67,0.0,30
6,909.6360000000001,1128.67,0.0,30
7,909.72,1128.67,0.0,30
8,909.86,1128.67,0.0,30
9,909.9860000000001,1128.67,0.0,30
10,910.13,1128.67,0.0,30
11,910.2919999999999,1128.67,0.0,30
12,910.472,1128.67,0.0,30
13,910.669,1128.67,0.0,30
14,910.885,1128.67,0.0,30
15,911.201,1128.67,0.0,30
16,911.459,1128.67,0.0,30
17,911.735,1128.67,0.0,30
18,912.029,1128.67,0.0,30
19,912.34,1128.67,0.0,30
20,912.6669999999999,1128.67,0.0,30
21,913.0110000000001,1128.67,0.0,30
22,913.497,1128.67,0.0,30
23,913.882,1128.67,0.0,30
24,914.284,1128.68,0.0,30
25,914.703,1128.68,0.0,30
26,915.1389999999999,1128.68,0.0,30
27,915.747,1128.69,0.0,30
28,916.2230000000001,1128.69,0.0,30
29,916.715,1128.69,0.0,30
30,917.225,1128.7,0.0,30
31,917.752,1128.71,0.0,30
32,918.4810000000001,1128.73,0.0,30
33,919.048,1128.74,0.0,30
34,919.632,1128.76,0.0,30
35,920.2330000000001,1128.78,0.0,30
36,920.8510000000001,1128.8,0.0,30
37,921.701,1128.84,0.0,30
38,922.3580000000001,1128.86,0.0,30
39,923.033,1128.89,0.0,30
40,923.725,1128.92,0.0,30
41,924.434,1128.96,0.0,30
42,925.159,1129.0,0.0,30
43,925.9019999999999,1129.04,0.0,30
44,926.6619999999999,1129.08,0.0,30
45,927.438,1129.12,0.0,30
46,928.232,1129.17,0.0,30
47,929.0419999999999,1129.21,0.0,30
48,929.868,1129.27,0.0,30
49,930.712,1129.32,0.0,30
50,931.572,1129.37,0.0,30
51,932.154,1129.41,0.0,30
52,933.0419999999999,1129.47,0.0,30
53,933.946,1129.53,0.0,30
54,934.867,1129.6,0.0,30
55,935.805,1129.66,0.0,30
56,936.7589999999999,1129.73,0.0,30
57,937.404,1129.78,0.0,30
58,938.3860000000001,1129.85,0.0,30
59,939.383,1129.91,0.0,30
60,940.395,1129.99,0.0,30
61,941.079,1130.04,0.0,30
62,942.117,1130.12,0.0,30
63,943.17,1130.2,0.0,30
64,943.88,1130.26,0.0,30
65,944.959,1130.35,0.0,30
66,946.052,1130.45,0.0,30
67,946.789,1130.52,0.0,30
68,947.9069999999999,1130.63,0.0,30
69,948.66,1130.7,0.0,30
70,949.801,1130.82,0.0,30
71,950.957,1130.95,0.0,30
72,951.735,1131.03,0.0,30
73,952.915,1131.17,0.0,30
74,954.1080000000001,1131.31,0.0,30
75,954.913,1131.4,0.0,30
76,956.1289999999999,1131.55,0.0,30
77,956.947,1131.65,0.0,30
78,958.186,1131.81,0.0,30
79,959.018,1131.92,0.0,30
80,960.279,1132.08,0.0,30
81,961.125,1132.19,0.0,30
82,962.4060000000001,1132.37,0.0,30
83,963.699,1132.55,0.0,30
84,964.567,1132.67,0.0,30
85,965.877,1132.86,0.0,30
86,966.752,1132.99,0.0,30
87,967.623,1133.12,0.0,30
88,968.933,1133.32,0.0,30
89,969.8,1133.45,0.0,30
90,971.102,1133.66,0.0,30
91,972.4010000000001,1133.88,0.0,30
92,973.2689999999999,1134.02,0.0,30
93,974.137,1134.18,0.0,30
94,975.436,1134.42,0.0,30
95,976.3,1134.59,0.0,30
96,977.1619999999999,1134.76,0.0,30
97,978.454,1135.02,0.0,30
98,979.312,1135.21,0.0,30
99,980.174,1135.4,0.0,30
100,981.46,1135.69,0.0,50
101,982.314,1135.9,0.0,50
102,983.596,1136.21,0.0,50
103,984.45,1136.43,0.0,50
104,985.301,1136.65,0.0,50
105,986.574,1136.99,0.0,50
106,987.422,1137.23,0.0,50
107,988.2689999999999,1137.47,0.0,50
108,989.5369999999999,1137.84,0.0,50
109,990.382,1138.09,0.0,50
110,991.227,1138.35,0.0,50
111,992.4860000000001,1138.74,0.0,50
112,993.326,1139.01,0.0,50
113,994.164,1139.28,0.0,50
114,995.002,1139.56,0.0,50
115,996.257,1139.97,0.0,50
116,997.095,1140.26,0.0,50
117,997.93,1140.55,0.0,50
118,998.762,1140.84,0.0,50
119,1000.01,1141.29,0.0,50
120,1000.84,1141.58,0.0,50
121,1001.67,1141.88,0.0,50
122,1002.5,1142.19,0.0,50
123,1003.34,1142.49,0.0,50
124,1004.58,1142.96,0.0,50
125,1005.4,1143.27,0.0,50
126,1006.23,1143.58,0.0,50
127,1007.47,1144.06,0.0,50
128,1008.29,1144.38,0.0,50
129,1009.12,1144.69,0.0,50
130,1009.94,1145.01,0.0,50
131,1010.76,1145.34,0.0,50
132,1011.59,1145.66,0.0,50
133,1012.82,1146.14,0.0,50
134,1013.64,1146.47,0.0,50
135,1014.46,1146.79,0.0,50
136,1015.28,1147.12,0.0,50
137,1016.1,1147.44,0.0,50
138,1017.34,1147.94,0.0,50
139,1018.15,1148.27,0.0,50
140,1018.97,1148.6,0.0,50
141,1019.79,1148.92,0.0,50
142,1020.61,1149.25,0.0,50
143,1021.43,1149.58,0.0,50
144,1022.66,1150.08,0.0,50
145,1023.49,1150.41,0.0,50
146,1024.31,1150.74,0.0,50
147,1025.13,1151.07,0.0,50
148,1025.95,1151.4,0.0,50
149,1026.77,1151.73,0.0,50
150,1028.0,1152.22,0.0,50
151,1028.82,1152.55,0.0,50
152,1029.64,1152.88,0.0,50
153,1030.46,1153.21,0.0,50
154,1031.28,1153.54,0.0,50
155,1032.1,1153.87,0.0,50
156,1033.33,1154.36,0.0,50
157,1034.15,1154.69,0.0,50
158,1034.97,1155.03,0.0,50
159,1035.79,1155.37,0.0,50
160,1036.61,1155.7,0.0,50
161,1037.42,1156.04,0.0,50
162,1038.24,1156.38,0.0,50
163,1039.05,1156.72,0.0,50
164,1040.27,1157.24,0.0,50
165,1041.09,1157.58,0.0,50
166,1041.9,1157.92,0.0,50
167,1042.72,1158.27,0.0,50
168,1043.53,1158.61,0.0,50
169,1044.34,1158.96,0.0,50
170,1045.56,1159.48,0.0,50
171,1046.37,1159.83,0.0,50
172,1047.18,1160.18,0.0,50
173,1047.99,1160.53,0.0,50
174,1048.8,1160.89,0.0,50
175,1049.61,1161.24,0.0,50
176,1050.82,1161.77,0.0,50
177,1051.63,1162.13,0.0,50
178,1052.44,1162.48,0.0,50
179,1053.25,1162.84,0.0,50
180,1054.06,1163.2,0.0,50
181,1055.27,1163.73,0.0,50
182,1056.08,1164.09,0.0,50
183,1056.88,1164.45,0.0,50
184,1057.69,1164.81,0.0,50
185,1058.5,1165.17,0.0,50
186,1059.3,1165.53,0.0,50
187,1060.51,1166.06,0.0,50
188,1061.32,1166.41,0.0,50
189,1062.13,1166.77,0.0,50
190,1062.94,1167.12,0.0,50
191,1063.75,1167.46,0.0,50
192,1064.57,1167.81,0.0,50
193,1065.78,1168.32,0.0,50
194,1066.6,1168.66,0.0,50
195,1067.41,1168.99,0.0,50
196,1068.23,1169.32,0.0,50
197,1069.05,1169.65,0.0,50
198,1069.87,1169.98,0.0,50
199,1071.09,1170.46,0.0,50
200,1071.91,1170.78,0.0,30
201,1072.74,1171.09,0.0,30
202,1073.56,1171.4,0.0,30
203,1074.39,1171.71,0.0,30
204,1075.21,1172.02,0.0,30
205,1076.04,1172.32,0.0,30
206,1077.28,1172.77,0.0,30
207,1078.11,1173.06,0.0,30
208,1078.94,1173.35,0.0,30
209,1079.78,1173.64,0.0,30
210,1080.61,1173.92,0.0,30
211,1081.45,1174.2,0.0,30
212,1082.28,1174.47,0.0,30
213,1083.12,1174.74,0.0,30
214,1084.38,1175.14,0.0,30
215,1086.07,1175.64,0.0,30
216,1086.49,1175.77,0.0,30
217,1087.33,1176.01,0.0,30
218,1087.76,1176.13,0.0,30
219,1088.6,1176.36,0.0,30
220,1089.45,1176.6,0.0,30
221,1090.31,1176.82,0.0,30
222,1091.16,1177.04,0.0,30
223,1092.02,1177.26,0.0,30
224,1093.3,1177.57,0.0,30
225,1094.16,1177.78,0.0,30
226,1095.02,1177.98,0.0,30
227,1095.88,1178.18,0.0,30
228,1096.74,1178.37,0.0,30
229,1097.6,1178.56,0.0,30
230,1098.46,1178.75,0.0,30
231,1099.32,1178.93,0.0,30
232,1100.18,1179.12,0.0,30
233,1101.05,1179.29,0.0,30
234,1101.91,1179.47,0.0,30
235,1102.78,1179.64,0.0,30
236,1103.65,1179.81,0.0,30
237,1104.52,1179.97,0.0,30
238,1105.38,1180.13,0.0,30
239,1105.82,1180.21,0.0,30
240,1106.69,1180.37,0.0,30
241,1107.56,1180.52,0.0,30
242,1108.43,1180.66,0.0,30
243,1109.3,1180.81,0.0,30
244,1110.17,1180.94,0.0,30
245,1111.04,1181.08,0.0,30
246,1111.91,1181.21,0.0,30
247,1112.79,1181.34,0.0,30
248,1113.66,1181.47,0.0,30
249,1114.53,1181.6,0.0,30
250,1115.4,1181.72,0.0,30
251,1116.28,1181.84,0.0,30
252,1117.15,1181.95,0.0,30
253,1118.03,1182.07,0.0,30
254,1118.9,1182.18,0.0,30
255,1119.78,1182.29,0.0,30
256,1120.22,1182.35,0.0,30
257,1121.1,1182.45,0.0,30
258,1121.97,1182.55,0.0,30
259,1122.85,1182.65,0.0,30
260,1123.73,1182.75,0.0,30
261,1124.6,1182.84,0.0,30
262,1125.04,1182.89,0.0,30
